chave_data,dia,mes,mes_descricao,ano,dia_semana
20200101,1,1,janeiro,2020,quarta-feira
20200102,2,1,janeiro,2020,quinta-feira
20200103,3,1,janeiro,2020,sexta-feira
20200104,4,1,janeiro,2020,sábado
20200105,5,1,janeiro,2020,domingo
20200106,6,1,janeiro,2020,segunda-feira
20200107,7,1,janeiro,2020,terça-feira
20200108,8,1,janeiro,2020,quarta-feira
20200109,9,1,janeiro,2020,quinta-feira
20200110,10,1,janeiro,2020,sexta-feira
20200111,11,1,janeiro,2020,sábado
20200112,12,1,janeiro,2020,domingo
20200113,13,1,janeiro,2020,segunda-feira
20200114,14,1,janeiro,2020,terça-feira
20200115,15,1,janeiro,2020,quarta-feira
20200116,16,1,janeiro,2020,quinta-feira
20200117,17,1,janeiro,2020,sexta-feira
20200118,18,1,janeiro,2020,sábado
20200119,19,1,janeiro,2020,domingo
20200120,20,1,janeiro,2020,segunda-feira
20200121,21,1,janeiro,2020,terça-feira
20200122,22,1,janeiro,2020,quarta-feira
20200123,23,1,janeiro,2020,quinta-feira
20200124,24,1,janeiro,2020,sexta-feira
20200125,25,1,janeiro,2020,sábado
20200126,26,1,janeiro,2020,domingo
20200127,27,1,janeiro,2020,segunda-feira
20200128,28,1,janeiro,2020,terça-feira
20200129,29,1,janeiro,2020,quarta-feira
20200130,30,1,janeiro,2020,quinta-feira
20200131,31,1,janeiro,2020,sexta-feira
20200201,1,2,fevereiro,2020,sábado
20200202,2,2,fevereiro,2020,domingo
20200203,3,2,fevereiro,2020,segunda-feira
20200204,4,2,fevereiro,2020,terça-feira
20200205,5,2,fevereiro,2020,quarta-feira
20200206,6,2,fevereiro,2020,quinta-feira
20200207,7,2,fevereiro,2020,sexta-feira
20200208,8,2,fevereiro,2020,sábado
20200209,9,2,fevereiro,2020,domingo
20200210,10,2,fevereiro,2020,segunda-feira
20200211,11,2,fevereiro,2020,terça-feira
20200212,12,2,fevereiro,2020,quarta-feira
20200213,13,2,fevereiro,2020,quinta-feira
20200214,14,2,fevereiro,2020,sexta-feira
20200215,15,2,fevereiro,2020,sábado
20200216,16,2,fevereiro,2020,domingo
20200217,17,2,fevereiro,2020,segunda-feira
20200218,18,2,fevereiro,2020,terça-feira
20200219,19,2,fevereiro,2020,quarta-feira
20200220,20,2,fevereiro,2020,quinta-feira
20200221,21,2,fevereiro,2020,sexta-feira
20200222,22,2,fevereiro,2020,sábado
20200223,23,2,fevereiro,2020,domingo
20200224,24,2,fevereiro,2020,segunda-feira
20200225,25,2,fevereiro,2020,terça-feira
20200226,26,2,fevereiro,2020,quarta-feira
20200227,27,2,fevereiro,2020,quinta-feira
20200228,28,2,fevereiro,2020,sexta-feira
20200229,29,2,fevereiro,2020,sábado
20200301,1,3,março,2020,domingo
20200302,2,3,março,2020,segunda-feira
20200303,3,3,março,2020,terça-feira
20200304,4,3,março,2020,quarta-feira
20200305,5,3,março,2020,quinta-feira
20200306,6,3,março,2020,sexta-feira
20200307,7,3,março,2020,sábado
20200308,8,3,março,2020,domingo
20200309,9,3,março,2020,segunda-feira
20200310,10,3,março,2020,terça-feira
20200311,11,3,março,2020,quarta-feira
20200312,12,3,março,2020,quinta-feira
20200313,13,3,março,2020,sexta-feira
20200314,14,3,março,2020,sábado
20200315,15,3,março,2020,domingo
20200316,16,3,março,2020,segunda-feira
20200317,17,3,março,2020,terça-feira
20200318,18,3,março,2020,quarta-feira
20200319,19,3,março,2020,quinta-feira
20200320,20,3,março,2020,sexta-feira
20200321,21,3,março,2020,sábado
20200322,22,3,março,2020,domingo
20200323,23,3,março,2020,segunda-feira
20200324,24,3,março,2020,terça-feira
20200325,25,3,março,2020,quarta-feira
20200326,26,3,março,2020,quinta-feira
20200327,27,3,março,2020,sexta-feira
20200328,28,3,março,2020,sábado
20200329,29,3,março,2020,domingo
20200330,30,3,março,2020,segunda-feira
20200331,31,3,março,2020,terça-feira
20200401,1,4,abril,2020,quarta-feira
20200402,2,4,abril,2020,quinta-feira
20200403,3,4,abril,2020,sexta-feira
20200404,4,4,abril,2020,sábado
20200405,5,4,abril,2020,domingo
20200406,6,4,abril,2020,segunda-feira
20200407,7,4,abril,2020,terça-feira
20200408,8,4,abril,2020,quarta-feira
20200409,9,4,abril,2020,quinta-feira
20200410,10,4,abril,2020,sexta-feira
20200411,11,4,abril,2020,sábado
20200412,12,4,abril,2020,domingo
20200413,13,4,abril,2020,segunda-feira
20200414,14,4,abril,2020,terça-feira
20200415,15,4,abril,2020,quarta-feira
20200416,16,4,abril,2020,quinta-feira
20200417,17,4,abril,2020,sexta-feira
20200418,18,4,abril,2020,sábado
20200419,19,4,abril,2020,domingo
20200420,20,4,abril,2020,segunda-feira
20200421,21,4,abril,2020,terça-feira
20200422,22,4,abril,2020,quarta-feira
20200423,23,4,abril,2020,quinta-feira
20200424,24,4,abril,2020,sexta-feira
20200425,25,4,abril,2020,sábado
20200426,26,4,abril,2020,domingo
20200427,27,4,abril,2020,segunda-feira
20200428,28,4,abril,2020,terça-feira
20200429,29,4,abril,2020,quarta-feira
20200430,30,4,abril,2020,quinta-feira
20200501,1,5,maio,2020,sexta-feira
20200502,2,5,maio,2020,sábado
20200503,3,5,maio,2020,domingo
20200504,4,5,maio,2020,segunda-feira
20200505,5,5,maio,2020,terça-feira
20200506,6,5,maio,2020,quarta-feira
20200507,7,5,maio,2020,quinta-feira
20200508,8,5,maio,2020,sexta-feira
20200509,9,5,maio,2020,sábado
20200510,10,5,maio,2020,domingo
20200511,11,5,maio,2020,segunda-feira
20200512,12,5,maio,2020,terça-feira
20200513,13,5,maio,2020,quarta-feira
20200514,14,5,maio,2020,quinta-feira
20200515,15,5,maio,2020,sexta-feira
20200516,16,5,maio,2020,sábado
20200517,17,5,maio,2020,domingo
20200518,18,5,maio,2020,segunda-feira
20200519,19,5,maio,2020,terça-feira
20200520,20,5,maio,2020,quarta-feira
20200521,21,5,maio,2020,quinta-feira
20200522,22,5,maio,2020,sexta-feira
20200523,23,5,maio,2020,sábado
20200524,24,5,maio,2020,domingo
20200525,25,5,maio,2020,segunda-feira
20200526,26,5,maio,2020,terça-feira
20200527,27,5,maio,2020,quarta-feira
20200528,28,5,maio,2020,quinta-feira
20200529,29,5,maio,2020,sexta-feira
20200530,30,5,maio,2020,sábado
20200531,31,5,maio,2020,domingo
20200601,1,6,junho,2020,segunda-feira
20200602,2,6,junho,2020,terça-feira
20200603,3,6,junho,2020,quarta-feira
20200604,4,6,junho,2020,quinta-feira
20200605,5,6,junho,2020,sexta-feira
20200606,6,6,junho,2020,sábado
20200607,7,6,junho,2020,domingo
20200608,8,6,junho,2020,segunda-feira
20200609,9,6,junho,2020,terça-feira
20200610,10,6,junho,2020,quarta-feira
20200611,11,6,junho,2020,quinta-feira
20200612,12,6,junho,2020,sexta-feira
20200613,13,6,junho,2020,sábado
20200614,14,6,junho,2020,domingo
20200615,15,6,junho,2020,segunda-feira
20200616,16,6,junho,2020,terça-feira
20200617,17,6,junho,2020,quarta-feira
20200618,18,6,junho,2020,quinta-feira
20200619,19,6,junho,2020,sexta-feira
20200620,20,6,junho,2020,sábado
20200621,21,6,junho,2020,domingo
20200622,22,6,junho,2020,segunda-feira
20200623,23,6,junho,2020,terça-feira
20200624,24,6,junho,2020,quarta-feira
20200625,25,6,junho,2020,quinta-feira
20200626,26,6,junho,2020,sexta-feira
20200627,27,6,junho,2020,sábado
20200628,28,6,junho,2020,domingo
20200629,29,6,junho,2020,segunda-feira
20200630,30,6,junho,2020,terça-feira
20200701,1,7,julho,2020,quarta-feira
20200702,2,7,julho,2020,quinta-feira
20200703,3,7,julho,2020,sexta-feira
20200704,4,7,julho,2020,sábado
20200705,5,7,julho,2020,domingo
20200706,6,7,julho,2020,segunda-feira
20200707,7,7,julho,2020,terça-feira
20200708,8,7,julho,2020,quarta-feira
20200709,9,7,julho,2020,quinta-feira
20200710,10,7,julho,2020,sexta-feira
20200711,11,7,julho,2020,sábado
20200712,12,7,julho,2020,domingo
20200713,13,7,julho,2020,segunda-feira
20200714,14,7,julho,2020,terça-feira
20200715,15,7,julho,2020,quarta-feira
20200716,16,7,julho,2020,quinta-feira
20200717,17,7,julho,2020,sexta-feira
20200718,18,7,julho,2020,sábado
20200719,19,7,julho,2020,domingo
20200720,20,7,julho,2020,segunda-feira
20200721,21,7,julho,2020,terça-feira
20200722,22,7,julho,2020,quarta-feira
20200723,23,7,julho,2020,quinta-feira
20200724,24,7,julho,2020,sexta-feira
20200725,25,7,julho,2020,sábado
20200726,26,7,julho,2020,domingo
20200727,27,7,julho,2020,segunda-feira
20200728,28,7,julho,2020,terça-feira
20200729,29,7,julho,2020,quarta-feira
20200730,30,7,julho,2020,quinta-feira
20200731,31,7,julho,2020,sexta-feira
20200801,1,8,agosto,2020,sábado
20200802,2,8,agosto,2020,domingo
20200803,3,8,agosto,2020,segunda-feira
20200804,4,8,agosto,2020,terça-feira
20200805,5,8,agosto,2020,quarta-feira
20200806,6,8,agosto,2020,quinta-feira
20200807,7,8,agosto,2020,sexta-feira
20200808,8,8,agosto,2020,sábado
20200809,9,8,agosto,2020,domingo
20200810,10,8,agosto,2020,segunda-feira
20200811,11,8,agosto,2020,terça-feira
20200812,12,8,agosto,2020,quarta-feira
20200813,13,8,agosto,2020,quinta-feira
20200814,14,8,agosto,2020,sexta-feira
20200815,15,8,agosto,2020,sábado
20200816,16,8,agosto,2020,domingo
20200817,17,8,agosto,2020,segunda-feira
20200818,18,8,agosto,2020,terça-feira
20200819,19,8,agosto,2020,quarta-feira
20200820,20,8,agosto,2020,quinta-feira
20200821,21,8,agosto,2020,sexta-feira
20200822,22,8,agosto,2020,sábado
20200823,23,8,agosto,2020,domingo
20200824,24,8,agosto,2020,segunda-feira
20200825,25,8,agosto,2020,terça-feira
20200826,26,8,agosto,2020,quarta-feira
20200827,27,8,agosto,2020,quinta-feira
20200828,28,8,agosto,2020,sexta-feira
20200829,29,8,agosto,2020,sábado
20200830,30,8,agosto,2020,domingo
20200831,31,8,agosto,2020,segunda-feira
20200901,1,9,setembro,2020,terça-feira
20200902,2,9,setembro,2020,quarta-feira
20200903,3,9,setembro,2020,quinta-feira
20200904,4,9,setembro,2020,sexta-feira
20200905,5,9,setembro,2020,sábado
20200906,6,9,setembro,2020,domingo
20200907,7,9,setembro,2020,segunda-feira
20200908,8,9,setembro,2020,terça-feira
20200909,9,9,setembro,2020,quarta-feira
20200910,10,9,setembro,2020,quinta-feira
20200911,11,9,setembro,2020,sexta-feira
20200912,12,9,setembro,2020,sábado
20200913,13,9,setembro,2020,domingo
20200914,14,9,setembro,2020,segunda-feira
20200915,15,9,setembro,2020,terça-feira
20200916,16,9,setembro,2020,quarta-feira
20200917,17,9,setembro,2020,quinta-feira
20200918,18,9,setembro,2020,sexta-feira
20200919,19,9,setembro,2020,sábado
20200920,20,9,setembro,2020,domingo
20200921,21,9,setembro,2020,segunda-feira
20200922,22,9,setembro,2020,terça-feira
20200923,23,9,setembro,2020,quarta-feira
20200924,24,9,setembro,2020,quinta-feira
20200925,25,9,setembro,2020,sexta-feira
20200926,26,9,setembro,2020,sábado
20200927,27,9,setembro,2020,domingo
20200928,28,9,setembro,2020,segunda-feira
20200929,29,9,setembro,2020,terça-feira
20200930,30,9,setembro,2020,quarta-feira
20201001,1,10,outubro,2020,quinta-feira
20201002,2,10,outubro,2020,sexta-feira
20201003,3,10,outubro,2020,sábado
20201004,4,10,outubro,2020,domingo
20201005,5,10,outubro,2020,segunda-feira
20201006,6,10,outubro,2020,terça-feira
20201007,7,10,outubro,2020,quarta-feira
20201008,8,10,outubro,2020,quinta-feira
20201009,9,10,outubro,2020,sexta-feira
20201010,10,10,outubro,2020,sábado
20201011,11,10,outubro,2020,domingo
20201012,12,10,outubro,2020,segunda-feira
20201013,13,10,outubro,2020,terça-feira
20201014,14,10,outubro,2020,quarta-feira
20201015,15,10,outubro,2020,quinta-feira
20201016,16,10,outubro,2020,sexta-feira
20201017,17,10,outubro,2020,sábado
20201018,18,10,outubro,2020,domingo
20201019,19,10,outubro,2020,segunda-feira
20201020,20,10,outubro,2020,terça-feira
20201021,21,10,outubro,2020,quarta-feira
20201022,22,10,outubro,2020,quinta-feira
20201023,23,10,outubro,2020,sexta-feira
20201024,24,10,outubro,2020,sábado
20201025,25,10,outubro,2020,domingo
20201026,26,10,outubro,2020,segunda-feira
20201027,27,10,outubro,2020,terça-feira
20201028,28,10,outubro,2020,quarta-feira
20201029,29,10,outubro,2020,quinta-feira
20201030,30,10,outubro,2020,sexta-feira
20201031,31,10,outubro,2020,sábado
20201101,1,11,novembro,2020,domingo
20201102,2,11,novembro,2020,segunda-feira
20201103,3,11,novembro,2020,terça-feira
20201104,4,11,novembro,2020,quarta-feira
20201105,5,11,novembro,2020,quinta-feira
20201106,6,11,novembro,2020,sexta-feira
20201107,7,11,novembro,2020,sábado
20201108,8,11,novembro,2020,domingo
20201109,9,11,novembro,2020,segunda-feira
20201110,10,11,novembro,2020,terça-feira
20201111,11,11,novembro,2020,quarta-feira
20201112,12,11,novembro,2020,quinta-feira
20201113,13,11,novembro,2020,sexta-feira
20201114,14,11,novembro,2020,sábado
20201115,15,11,novembro,2020,domingo
20201116,16,11,novembro,2020,segunda-feira
20201117,17,11,novembro,2020,terça-feira
20201118,18,11,novembro,2020,quarta-feira
20201119,19,11,novembro,2020,quinta-feira
20201120,20,11,novembro,2020,sexta-feira
20201121,21,11,novembro,2020,sábado
20201122,22,11,novembro,2020,domingo
20201123,23,11,novembro,2020,segunda-feira
20201124,24,11,novembro,2020,terça-feira
20201125,25,11,novembro,2020,quarta-feira
20201126,26,11,novembro,2020,quinta-feira
20201127,27,11,novembro,2020,sexta-feira
20201128,28,11,novembro,2020,sábado
20201129,29,11,novembro,2020,domingo
20201130,30,11,novembro,2020,segunda-feira
20201201,1,12,dezembro,2020,terça-feira
20201202,2,12,dezembro,2020,quarta-feira
20201203,3,12,dezembro,2020,quinta-feira
20201204,4,12,dezembro,2020,sexta-feira
20201205,5,12,dezembro,2020,sábado
20201206,6,12,dezembro,2020,domingo
20201207,7,12,dezembro,2020,segunda-feira
20201208,8,12,dezembro,2020,terça-feira
20201209,9,12,dezembro,2020,quarta-feira
20201210,10,12,dezembro,2020,quinta-feira
20201211,11,12,dezembro,2020,sexta-feira
20201212,12,12,dezembro,2020,sábado
20201213,13,12,dezembro,2020,domingo
20201214,14,12,dezembro,2020,segunda-feira
20201215,15,12,dezembro,2020,terça-feira
20201216,16,12,dezembro,2020,quarta-feira
20201217,17,12,dezembro,2020,quinta-feira
20201218,18,12,dezembro,2020,sexta-feira
20201219,19,12,dezembro,2020,sábado
20201220,20,12,dezembro,2020,domingo
20201221,21,12,dezembro,2020,segunda-feira
20201222,22,12,dezembro,2020,terça-feira
20201223,23,12,dezembro,2020,quarta-feira
20201224,24,12,dezembro,2020,quinta-feira
20201225,25,12,dezembro,2020,sexta-feira
20201226,26,12,dezembro,2020,sábado
20201227,27,12,dezembro,2020,domingo
20201228,28,12,dezembro,2020,segunda-feira
20201229,29,12,dezembro,2020,terça-feira
20201230,30,12,dezembro,2020,quarta-feira
20201231,31,12,dezembro,2020,quinta-feira
20210101,1,1,janeiro,2021,sexta-feira
20210102,2,1,janeiro,2021,sábado
20210103,3,1,janeiro,2021,domingo
20210104,4,1,janeiro,2021,segunda-feira
20210105,5,1,janeiro,2021,terça-feira
20210106,6,1,janeiro,2021,quarta-feira
20210107,7,1,janeiro,2021,quinta-feira
20210108,8,1,janeiro,2021,sexta-feira
20210109,9,1,janeiro,2021,sábado
20210110,10,1,janeiro,2021,domingo
20210111,11,1,janeiro,2021,segunda-feira
20210112,12,1,janeiro,2021,terça-feira
20210113,13,1,janeiro,2021,quarta-feira
20210114,14,1,janeiro,2021,quinta-feira
20210115,15,1,janeiro,2021,sexta-feira
20210116,16,1,janeiro,2021,sábado
20210117,17,1,janeiro,2021,domingo
20210118,18,1,janeiro,2021,segunda-feira
20210119,19,1,janeiro,2021,terça-feira
20210120,20,1,janeiro,2021,quarta-feira
20210121,21,1,janeiro,2021,quinta-feira
20210122,22,1,janeiro,2021,sexta-feira
20210123,23,1,janeiro,2021,sábado
20210124,24,1,janeiro,2021,domingo
20210125,25,1,janeiro,2021,segunda-feira
20210126,26,1,janeiro,2021,terça-feira
20210127,27,1,janeiro,2021,quarta-feira
20210128,28,1,janeiro,2021,quinta-feira
20210129,29,1,janeiro,2021,sexta-feira
20210130,30,1,janeiro,2021,sábado
20210131,31,1,janeiro,2021,domingo
20210201,1,2,fevereiro,2021,segunda-feira
20210202,2,2,fevereiro,2021,terça-feira
20210203,3,2,fevereiro,2021,quarta-feira
20210204,4,2,fevereiro,2021,quinta-feira
20210205,5,2,fevereiro,2021,sexta-feira
