chave_tempo,hora,minuto
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,0,50
51,0,51
52,0,52
53,0,53
54,0,54
55,0,55
56,0,56
57,0,57
58,0,58
59,0,59
100,1,0
101,1,1
102,1,2
103,1,3
104,1,4
105,1,5
106,1,6
107,1,7
108,1,8
109,1,9
110,1,10
111,1,11
112,1,12
113,1,13
114,1,14
115,1,15
116,1,16
117,1,17
118,1,18
119,1,19
120,1,20
121,1,21
122,1,22
123,1,23
124,1,24
125,1,25
126,1,26
127,1,27
128,1,28
129,1,29
130,1,30
131,1,31
132,1,32
133,1,33
134,1,34
135,1,35
136,1,36
137,1,37
138,1,38
139,1,39
140,1,40
141,1,41
142,1,42
143,1,43
144,1,44
145,1,45
146,1,46
147,1,47
148,1,48
149,1,49
150,1,50
151,1,51
152,1,52
153,1,53
154,1,54
155,1,55
156,1,56
157,1,57
158,1,58
159,1,59
200,2,0
201,2,1
202,2,2
203,2,3
204,2,4
205,2,5
206,2,6
207,2,7
208,2,8
209,2,9
210,2,10
211,2,11
212,2,12
213,2,13
214,2,14
215,2,15
216,2,16
217,2,17
218,2,18
219,2,19
220,2,20
221,2,21
222,2,22
223,2,23
224,2,24
225,2,25
226,2,26
227,2,27
228,2,28
229,2,29
230,2,30
231,2,31
232,2,32
233,2,33
234,2,34
235,2,35
236,2,36
237,2,37
238,2,38
239,2,39
240,2,40
241,2,41
242,2,42
243,2,43
244,2,44
245,2,45
246,2,46
247,2,47
248,2,48
249,2,49
250,2,50
251,2,51
252,2,52
253,2,53
254,2,54
255,2,55
256,2,56
257,2,57
258,2,58
259,2,59
300,3,0
301,3,1
302,3,2
303,3,3
304,3,4
305,3,5
306,3,6
307,3,7
308,3,8
309,3,9
310,3,10
311,3,11
312,3,12
313,3,13
314,3,14
315,3,15
316,3,16
317,3,17
318,3,18
319,3,19
320,3,20
321,3,21
322,3,22
323,3,23
324,3,24
325,3,25
326,3,26
327,3,27
328,3,28
329,3,29
330,3,30
331,3,31
332,3,32
333,3,33
334,3,34
335,3,35
336,3,36
337,3,37
338,3,38
339,3,39
340,3,40
341,3,41
342,3,42
343,3,43
344,3,44
345,3,45
346,3,46
347,3,47
348,3,48
349,3,49
350,3,50
351,3,51
352,3,52
353,3,53
354,3,54
355,3,55
356,3,56
357,3,57
358,3,58
359,3,59
400,4,0
401,4,1
402,4,2
403,4,3
404,4,4
405,4,5
406,4,6
407,4,7
408,4,8
409,4,9
410,4,10
411,4,11
412,4,12
413,4,13
414,4,14
415,4,15
416,4,16
417,4,17
418,4,18
419,4,19
420,4,20
421,4,21
422,4,22
423,4,23
424,4,24
425,4,25
426,4,26
427,4,27
428,4,28
429,4,29
430,4,30
431,4,31
432,4,32
433,4,33
434,4,34
435,4,35
436,4,36
437,4,37
438,4,38
439,4,39
440,4,40
441,4,41
442,4,42
443,4,43
444,4,44
445,4,45
446,4,46
447,4,47
448,4,48
449,4,49
450,4,50
451,4,51
452,4,52
453,4,53
454,4,54
455,4,55
456,4,56
457,4,57
458,4,58
459,4,59
500,5,0
501,5,1
502,5,2
503,5,3
504,5,4
505,5,5
506,5,6
507,5,7
